Tijd	Ch1	Ch2
Sec	mBar	mBar
368,636	8,000	29,000
369,637	8,000	29,000
370,636	8,000	29,000
371,636	8,000	29,000
372,636	7,000	29,000
373,638	7,000	28,000
374,636	7,000	28,000
375,637	7,000	28,000
376,636	7,000	28,000
377,637	7,000	28,000
378,637	7,000	28,000
379,637	7,000	28,000
380,637	7,000	27,000
381,637	7,000	27,000
382,637	7,000	27,000
383,637	7,000	27,000
384,637	7,000	27,000
385,636	7,000	27,000
386,637	7,000	27,000
387,637	7,000	27,000
388,636	7,000	26,000
389,637	7,000	26,000
390,637	7,000	26,000
391,636	7,000	26,000
392,637	7,000	26,000
393,636	7,000	26,000
394,638	7,000	26,000
395,637	7,000	26,000
396,637	7,000	26,000
397,637	7,000	25,000
398,638	7,000	25,000
399,638	6,000	25,000
400,637	6,000	25,000
401,637	6,000	25,000
402,637	6,000	25,000
403,637	6,000	25,000
404,637	6,000	25,000
405,637	6,000	25,000
406,637	6,000	25,000
407,637	6,000	24,000
408,637	6,000	24,000
409,637	6,000	24,000
410,637	6,000	24,000
411,637	6,000	24,000
